Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00194:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .html"
00172:  C=403     29 L	      92 W	   1233 Ch	  "_ - .bak"
00176:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .html"
00195:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .txt"
00198:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .conf"
00199:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .php"
00200:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .html"
00201:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .txt"
00202:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .bak"
00203:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .old"
00204:  C=403     29 L	      92 W	   1233 Ch	  "_assets - .conf"
00206:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .html"
00207:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .txt"
00208:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .bak"
00209:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .old"
00210:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .conf"
00211:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .php"
00212:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .html"
00178:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .bak"
00177:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .txt"
00214:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .bak"
00215:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .old"
00196:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .bak"
00197:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .old"
00216:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .conf"
00217:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .php"
00218:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .html"
00219:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .txt"
00220:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .bak"
00222:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .conf"
00223:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .php"
